sales,date,region
5754.24,2018-02-14,south
5354.64,2018-02-14,east
5454.54,2018-02-14,west
1485.0,2018-02-14,north
1355.0,2018-02-14,south
1267.5,2018-02-14,east
1290.0,2018-02-14,west
1581.0,2018-02-14,north
1698.0,2018-02-14,south
1794.0,2018-02-14,east
1572.0,2018-02-14,west
743.75,2018-02-14,north
750.0,2018-02-14,south
697.5,2018-02-14,east
658.75,2018-02-14,west
2619.75,2018-02-14,north
2654.6800000000003,2018-02-14,south
2729.53,2018-02-14,east
2554.88,2018-02-14,west
1056.69,2018-02-14,north
1084.55,2018-02-14,south
1186.04,2018-02-14,east
1028.83,2018-02-14,west
1746.0,2018-02-15,north
1734.0,2018-02-15,south
1524.0,2018-02-15,east
1614.0,2018-02-15,west
5344.650000000001,2018-02-15,north
5074.92,2018-02-15,south
5764.2300000000005,2018-02-15,east
5104.89,2018-02-15,west
1307.5,2018-02-15,north
1325.0,2018-02-15,south
1455.0,2018-02-15,east
1405.0,2018-02-15,west
1605.0,2018-02-15,north
1599.0,2018-02-15,south
1764.0,2018-02-15,east
1524.0,2018-02-15,west
638.75,2018-02-15,north
676.25,2018-02-15,south
661.25,2018-02-15,east
712.5,2018-02-15,west
2584.82,2018-02-15,north
2659.67,2018-02-15,south
2659.67,2018-02-15,east
2759.4700000000003,2018-02-15,west
1046.74,2018-02-15,north
1104.45,2018-02-15,south
1098.48,2018-02-15,east
1100.47,2018-02-15,west
1578.0,2018-02-16,north
1782.0,2018-02-16,south
1527.0,2018-02-16,east
1752.0,2018-02-16,west
5054.9400000000005,2018-02-16,north
5904.09,2018-02-16,south
5024.97,2018-02-16,east
5184.81,2018-02-16,west
1370.0,2018-02-16,north
1445.0,2018-02-16,south
1295.0,2018-02-16,east
1410.0,2018-02-16,west
1500.0,2018-02-16,north
1599.0,2018-02-16,south
1503.0,2018-02-16,east
1587.0,2018-02-16,west
746.25,2018-02-16,north
651.25,2018-02-16,south
696.25,2018-02-16,east
677.5,2018-02-16,west
2589.81,2018-02-16,north
2959.07,2018-02-16,south
2849.29,2018-02-16,east
2544.9,2018-02-16,west
1024.85,2018-02-16,north
1014.9,2018-02-16,south
1036.79,2018-02-16,east
1142.26,2018-02-16,west
1785.0,2018-02-17,north
1689.0,2018-02-17,south
1641.0,2018-02-17,east
1575.0,2018-02-17,west
5634.36,2018-02-17,north
5724.27,2018-02-17,south
5234.76,2018-02-17,east
5294.7,2018-02-17,west
1487.5,2018-02-17,north
1257.5,2018-02-17,south
1450.0,2018-02-17,east
1420.0,2018-02-17,west
1584.0,2018-02-17,north
1719.0,2018-02-17,south
1734.0,2018-02-17,east
1650.0,2018-02-17,west
693.75,2018-02-17,north
663.75,2018-02-17,south
643.75,2018-02-17,east
681.25,2018-02-17,west
2594.8,2018-02-17,north
2869.25,2018-02-17,south
2859.27,2018-02-17,east
2594.8,2018-02-17,west
1024.85,2018-02-17,north
1192.01,2018-02-17,south
1132.31,2018-02-17,east
1172.11,2018-02-17,west
1644.0,2018-02-18,north
1674.0,2018-02-18,south
1551.0,2018-02-18,east
1737.0,2018-02-18,west
5204.79,2018-02-18,north
5674.32,2018-02-18,south
5394.6,2018-02-18,east
5824.17,2018-02-18,west
1437.5,2018-02-18,north
1265.0,2018-02-18,south
1330.0,2018-02-18,east
1272.5,2018-02-18,west
1773.0,2018-02-18,north
1536.0,2018-02-18,south
1617.0,2018-02-18,east
1692.0,2018-02-18,west
641.25,2018-02-18,north
661.25,2018-02-18,south
721.25,2018-02-18,east
630.0,2018-02-18,west
2839.31,2018-02-18,north
2884.2200000000003,2018-02-18,south
2574.84,2018-02-18,east
2634.7200000000003,2018-02-18,west
1144.25,2018-02-18,north
1066.64,2018-02-18,south
1002.96,2018-02-18,east
1140.27,2018-02-18,west
1563.0,2018-02-19,north
1647.0,2018-02-19,south
1605.0,2018-02-19,east
1539.0,2018-02-19,west
5614.38,2018-02-19,north
5924.07,2018-02-19,south
5924.07,2018-02-19,east
5964.03,2018-02-19,west
1277.5,2018-02-19,north
1272.5,2018-02-19,south
1475.0,2018-02-19,east
1437.5,2018-02-19,west
1557.0,2018-02-19,north
1563.0,2018-02-19,south
1596.0,2018-02-19,east
1512.0,2018-02-19,west
635.0,2018-02-19,north
660.0,2018-02-19,south
693.75,2018-02-19,east
727.5,2018-02-19,west
2974.04,2018-02-19,north
2844.3,2018-02-19,south
2854.28,2018-02-19,east
2964.06,2018-02-19,west
1096.49,2018-02-19,north
1000.97,2018-02-19,south
1130.32,2018-02-19,east
1116.39,2018-02-19,west
1698.0,2018-02-20,north
1575.0,2018-02-20,south
1500.0,2018-02-20,east
1551.0,2018-02-20,west
5804.1900000000005,2018-02-20,north
5434.56,2018-02-20,south
5684.31,2018-02-20,east
5944.05,2018-02-20,west
1302.5,2018-02-20,north
1457.5,2018-02-20,south
1445.0,2018-02-20,east
1432.5,2018-02-20,west
1671.0,2018-02-20,north
1746.0,2018-02-20,south
1656.0,2018-02-20,east
1572.0,2018-02-20,west
741.25,2018-02-20,north
662.5,2018-02-20,south
651.25,2018-02-20,east
746.25,2018-02-20,west
2899.19,2018-02-20,north
2599.79,2018-02-20,south
2909.17,2018-02-20,east
2579.83,2018-02-20,west
1038.78,2018-02-20,north
1060.67,2018-02-20,south
1168.1299999999999,2018-02-20,east
1030.82,2018-02-20,west
1737.0,2018-02-21,north
1542.0,2018-02-21,south
1665.0,2018-02-21,east
1548.0,2018-02-21,west
5744.25,2018-02-21,north
4995.0,2018-02-21,south
5574.42,2018-02-21,east
5074.92,2018-02-21,west
1467.5,2018-02-21,north
1422.5,2018-02-21,south
1267.5,2018-02-21,east
1292.5,2018-02-21,west
1638.0,2018-02-21,north
1689.0,2018-02-21,south
1536.0,2018-02-21,east
1668.0,2018-02-21,west
633.75,2018-02-21,north
730.0,2018-02-21,south
697.5,2018-02-21,east
742.5,2018-02-21,west
2779.4300000000003,2018-02-21,north
2604.78,2018-02-21,south
2834.32,2018-02-21,east
2934.1200000000003,2018-02-21,west
1186.04,2018-02-21,north
1138.28,2018-02-21,south
1042.76,2018-02-21,east
1068.6299999999999,2018-02-21,west
1635.0,2018-02-22,north
1632.0,2018-02-22,south
1668.0,2018-02-22,east
1764.0,2018-02-22,west
5284.71,2018-02-22,north
5304.6900000000005,2018-02-22,south
5154.84,2018-02-22,east
5414.58,2018-02-22,west
1442.5,2018-02-22,north
1312.5,2018-02-22,south
1300.0,2018-02-22,east
1325.0,2018-02-22,west
1662.0,2018-02-22,north
1584.0,2018-02-22,south
1599.0,2018-02-22,east
1563.0,2018-02-22,west
720.0,2018-02-22,north
732.5,2018-02-22,south
651.25,2018-02-22,east
633.75,2018-02-22,west
2614.76,2018-02-22,north
2604.78,2018-02-22,south
2709.57,2018-02-22,east
2859.27,2018-02-22,west
1004.95,2018-02-22,north
1010.92,2018-02-22,south
1152.21,2018-02-22,east
1194.0,2018-02-22,west
1533.0,2018-02-23,north
1563.0,2018-02-23,south
1641.0,2018-02-23,east
1773.0,2018-02-23,west
5184.81,2018-02-23,north
5354.64,2018-02-23,south
5504.49,2018-02-23,east
5404.59,2018-02-23,west
1255.0,2018-02-23,north
1445.0,2018-02-23,south
1290.0,2018-02-23,east
1455.0,2018-02-23,west
1638.0,2018-02-23,north
1581.0,2018-02-23,south
1734.0,2018-02-23,east
1650.0,2018-02-23,west
702.5,2018-02-23,north
648.75,2018-02-23,south
632.5,2018-02-23,east
740.0,2018-02-23,west
2599.79,2018-02-23,north
2884.2200000000003,2018-02-23,south
2989.01,2018-02-23,east
2599.79,2018-02-23,west
996.99,2018-02-23,north
1040.77,2018-02-23,south
1096.49,2018-02-23,east
1194.0,2018-02-23,west
1629.0,2018-02-24,north
1698.0,2018-02-24,south
1725.0,2018-02-24,east
1722.0,2018-02-24,west
5314.68,2018-02-24,north
5374.62,2018-02-24,south
5644.35,2018-02-24,east
5064.93,2018-02-24,west
1295.0,2018-02-24,north
1472.5,2018-02-24,south
1367.5,2018-02-24,east
1277.5,2018-02-24,west
1749.0,2018-02-24,north
1584.0,2018-02-24,south
1560.0,2018-02-24,east
1656.0,2018-02-24,west
685.0,2018-02-24,north
625.0,2018-02-24,south
712.5,2018-02-24,east
748.75,2018-02-24,west
2634.7200000000003,2018-02-24,north
2954.08,2018-02-24,south
2684.62,2018-02-24,east
2819.35,2018-02-24,west
1190.02,2018-02-24,north
996.99,2018-02-24,south
1106.44,2018-02-24,east
1094.5,2018-02-24,west
1596.0,2018-02-25,north
1710.0,2018-02-25,south
1635.0,2018-02-25,east
1659.0,2018-02-25,west
5824.17,2018-02-25,north
5994.0,2018-02-25,south
5854.14,2018-02-25,east
5734.26,2018-02-25,west
1385.0,2018-02-25,north
1315.0,2018-02-25,south
1470.0,2018-02-25,east
1415.0,2018-02-25,west
1533.0,2018-02-25,north
1569.0,2018-02-25,south
1581.0,2018-02-25,east
1563.0,2018-02-25,west
676.25,2018-02-25,north
627.5,2018-02-25,south
647.5,2018-02-25,east
716.25,2018-02-25,west
2949.09,2018-02-25,north
2699.59,2018-02-25,south
2679.63,2018-02-25,east
2924.1400000000003,2018-02-25,west
1010.92,2018-02-25,north
1094.5,2018-02-25,south
1144.25,2018-02-25,east
1078.58,2018-02-25,west
1686.0,2018-02-26,north
1533.0,2018-02-26,south
1524.0,2018-02-26,east
1530.0,2018-02-26,west
5124.87,2018-02-26,north
5864.13,2018-02-26,south
5844.150000000001,2018-02-26,east
5414.58,2018-02-26,west
1277.5,2018-02-26,north
1367.5,2018-02-26,south
1367.5,2018-02-26,east
1352.5,2018-02-26,west
1707.0,2018-02-26,north
1512.0,2018-02-26,south
1758.0,2018-02-26,east
1746.0,2018-02-26,west
722.5,2018-02-26,north
637.5,2018-02-26,south
662.5,2018-02-26,east
705.0,2018-02-26,west
2734.52,2018-02-26,north
2939.11,2018-02-26,south
2964.06,2018-02-26,east
2639.71,2018-02-26,west
1060.67,2018-02-26,north
1092.51,2018-02-26,south
1186.04,2018-02-26,east
1022.86,2018-02-26,west
1665.0,2018-02-27,north
1695.0,2018-02-27,south
1578.0,2018-02-27,east
1620.0,2018-02-27,west
5624.37,2018-02-27,north
5404.59,2018-02-27,south
5044.95,2018-02-27,east
5634.36,2018-02-27,west
1290.0,2018-02-27,north
1287.5,2018-02-27,south
1480.0,2018-02-27,east
1385.0,2018-02-27,west
1548.0,2018-02-27,north
1800.0,2018-02-27,south
1602.0,2018-02-27,east
1530.0,2018-02-27,west
717.5,2018-02-27,north
650.0,2018-02-27,south
738.75,2018-02-27,east
648.75,2018-02-27,west
2579.83,2018-02-27,north
2574.84,2018-02-27,south
2989.01,2018-02-27,east
2904.1800000000003,2018-02-27,west
1068.6299999999999,2018-02-27,north
1170.12,2018-02-27,south
1190.02,2018-02-27,east
1152.21,2018-02-27,west
1767.0,2018-02-28,north
1593.0,2018-02-28,south
1743.0,2018-02-28,east
1557.0,2018-02-28,west
5334.66,2018-02-28,north
5374.62,2018-02-28,south
5444.55,2018-02-28,east
5824.17,2018-02-28,west
1407.5,2018-02-28,north
1405.0,2018-02-28,south
1320.0,2018-02-28,east
1462.5,2018-02-28,west
1746.0,2018-02-28,north
1746.0,2018-02-28,south
1590.0,2018-02-28,east
1539.0,2018-02-28,west
715.0,2018-02-28,north
642.5,2018-02-28,south
730.0,2018-02-28,east
691.25,2018-02-28,west
2979.03,2018-02-28,north
2619.75,2018-02-28,south
2794.4,2018-02-28,east
2924.1400000000003,2018-02-28,west
1020.87,2018-02-28,north
1068.6299999999999,2018-02-28,south
1026.84,2018-02-28,east
1040.77,2018-02-28,west
1668.0,2018-03-01,north
1782.0,2018-03-01,south
1527.0,2018-03-01,east
1668.0,2018-03-01,west
5614.38,2018-03-01,north
5784.21,2018-03-01,south
5194.8,2018-03-01,east
5704.29,2018-03-01,west
1320.0,2018-03-01,north
1472.5,2018-03-01,south
1295.0,2018-03-01,east
1337.5,2018-03-01,west
1581.0,2018-03-01,north
1605.0,2018-03-01,south
1563.0,2018-03-01,east
1509.0,2018-03-01,west
726.25,2018-03-01,north
643.75,2018-03-01,south
750.0,2018-03-01,east
736.25,2018-03-01,west
2754.48,2018-03-01,north
2534.92,2018-03-01,south
2824.34,2018-03-01,east
2869.25,2018-03-01,west
1068.6299999999999,2018-03-01,north
1142.26,2018-03-01,south
1180.07,2018-03-01,east
1020.87,2018-03-01,west
1635.0,2018-03-02,north
1569.0,2018-03-02,south
1746.0,2018-03-02,east
1773.0,2018-03-02,west
5984.01,2018-03-02,north
5954.04,2018-03-02,south
5274.72,2018-03-02,east
5304.6900000000005,2018-03-02,west
1387.5,2018-03-02,north
1465.0,2018-03-02,south
1420.0,2018-03-02,east
1437.5,2018-03-02,west
1659.0,2018-03-02,north
1512.0,2018-03-02,south
1788.0,2018-03-02,east
1638.0,2018-03-02,west
741.25,2018-03-02,north
658.75,2018-03-02,south
686.25,2018-03-02,east
640.0,2018-03-02,west
2544.9,2018-03-02,north
2499.9900000000002,2018-03-02,south
2984.02,2018-03-02,east
2854.28,2018-03-02,west
1082.56,2018-03-02,north
1028.83,2018-03-02,south
1088.53,2018-03-02,east
1108.43,2018-03-02,west
1539.0,2018-03-03,north
1500.0,2018-03-03,south
1569.0,2018-03-03,east
1557.0,2018-03-03,west
5624.37,2018-03-03,north
5304.6900000000005,2018-03-03,south
5194.8,2018-03-03,east
5554.4400000000005,2018-03-03,west
1255.0,2018-03-03,north
1372.5,2018-03-03,south
1440.0,2018-03-03,east
1282.5,2018-03-03,west
1749.0,2018-03-03,north
1635.0,2018-03-03,south
1542.0,2018-03-03,east
1662.0,2018-03-03,west
688.75,2018-03-03,north
662.5,2018-03-03,south
627.5,2018-03-03,east
717.5,2018-03-03,west
2609.77,2018-03-03,north
2604.78,2018-03-03,south
2569.85,2018-03-03,east
2584.82,2018-03-03,west
1062.66,2018-03-03,north
1062.66,2018-03-03,south
995.0,2018-03-03,east
1140.27,2018-03-03,west
1773.0,2018-03-04,north
1644.0,2018-03-04,south
1614.0,2018-03-04,east
1674.0,2018-03-04,west
5994.0,2018-03-04,north
5784.21,2018-03-04,south
5054.9400000000005,2018-03-04,east
5774.22,2018-03-04,west
1372.5,2018-03-04,north
1262.5,2018-03-04,south
1425.0,2018-03-04,east
1335.0,2018-03-04,west
1599.0,2018-03-04,north
1566.0,2018-03-04,south
1707.0,2018-03-04,east
1626.0,2018-03-04,west
685.0,2018-03-04,north
688.75,2018-03-04,south
667.5,2018-03-04,east
662.5,2018-03-04,west
2554.88,2018-03-04,north
2864.26,2018-03-04,south
2894.2000000000003,2018-03-04,east
2574.84,2018-03-04,west
1142.26,2018-03-04,north
1152.21,2018-03-04,south
1122.36,2018-03-04,east
1060.67,2018-03-04,west
1533.0,2018-03-05,north
1653.0,2018-03-05,south
1557.0,2018-03-05,east
1746.0,2018-03-05,west
5734.26,2018-03-05,north
5094.900000000001,2018-03-05,south
5594.400000000001,2018-03-05,east
5244.75,2018-03-05,west
1440.0,2018-03-05,north
1465.0,2018-03-05,south
1490.0,2018-03-05,east
1495.0,2018-03-05,west
1722.0,2018-03-05,north
1758.0,2018-03-05,south
1524.0,2018-03-05,east
1782.0,2018-03-05,west
733.75,2018-03-05,north
672.5,2018-03-05,south
687.5,2018-03-05,east
720.0,2018-03-05,west
2524.94,2018-03-05,north
2974.04,2018-03-05,south
2514.96,2018-03-05,east
2979.03,2018-03-05,west
1158.18,2018-03-05,north
1144.25,2018-03-05,south
1082.56,2018-03-05,east
1042.76,2018-03-05,west
1719.0,2018-03-06,north
1719.0,2018-03-06,south
1659.0,2018-03-06,east
1800.0,2018-03-06,west
5324.67,2018-03-06,north
5854.14,2018-03-06,south
5884.11,2018-03-06,east
5544.45,2018-03-06,west
1445.0,2018-03-06,north
1265.0,2018-03-06,south
1412.5,2018-03-06,east
1370.0,2018-03-06,west
1611.0,2018-03-06,north
1773.0,2018-03-06,south
1611.0,2018-03-06,east
1746.0,2018-03-06,west
631.25,2018-03-06,north
748.75,2018-03-06,south
705.0,2018-03-06,east
631.25,2018-03-06,west
2709.57,2018-03-06,north
2789.4100000000003,2018-03-06,south
2719.55,2018-03-06,east
2679.63,2018-03-06,west
1050.72,2018-03-06,north
1048.73,2018-03-06,south
1104.45,2018-03-06,east
1052.71,2018-03-06,west
1581.0,2018-03-07,north
1602.0,2018-03-07,south
1608.0,2018-03-07,east
1650.0,2018-03-07,west
5204.79,2018-03-07,north
5744.25,2018-03-07,south
5044.95,2018-03-07,east
5644.35,2018-03-07,west
1315.0,2018-03-07,north
1340.0,2018-03-07,south
1460.0,2018-03-07,east
1387.5,2018-03-07,west
1791.0,2018-03-07,north
1518.0,2018-03-07,south
1779.0,2018-03-07,east
1719.0,2018-03-07,west
737.5,2018-03-07,north
743.75,2018-03-07,south
673.75,2018-03-07,east
670.0,2018-03-07,west
2924.1400000000003,2018-03-07,north
2944.1,2018-03-07,south
2814.36,2018-03-07,east
2594.8,2018-03-07,west
1194.0,2018-03-07,north
1172.11,2018-03-07,south
1124.35,2018-03-07,east
1066.64,2018-03-07,west
1611.0,2018-03-08,north
1530.0,2018-03-08,south
1698.0,2018-03-08,east
1668.0,2018-03-08,west
5894.1,2018-03-08,north
5584.41,2018-03-08,south
5354.64,2018-03-08,east
5614.38,2018-03-08,west
1450.0,2018-03-08,north
1475.0,2018-03-08,south
1275.0,2018-03-08,east
1452.5,2018-03-08,west
1590.0,2018-03-08,north
1506.0,2018-03-08,south
1692.0,2018-03-08,east
1662.0,2018-03-08,west
742.5,2018-03-08,north
741.25,2018-03-08,south
662.5,2018-03-08,east
666.25,2018-03-08,west
2659.67,2018-03-08,north
2849.29,2018-03-08,south
2939.11,2018-03-08,east
2949.09,2018-03-08,west
1038.78,2018-03-08,north
1080.57,2018-03-08,south
1028.83,2018-03-08,east
1074.6,2018-03-08,west
1746.0,2018-03-09,north
1524.0,2018-03-09,south
1506.0,2018-03-09,east
1704.0,2018-03-09,west
5824.17,2018-03-09,north
5864.13,2018-03-09,south
5174.82,2018-03-09,east
5014.9800000000005,2018-03-09,west
1420.0,2018-03-09,north
1317.5,2018-03-09,south
1255.0,2018-03-09,east
1287.5,2018-03-09,west
1530.0,2018-03-09,north
1701.0,2018-03-09,south
1674.0,2018-03-09,east
1587.0,2018-03-09,west
626.25,2018-03-09,north
726.25,2018-03-09,south
661.25,2018-03-09,east
632.5,2018-03-09,west
2944.1,2018-03-09,north
2884.2200000000003,2018-03-09,south
2979.03,2018-03-09,east
2644.7000000000003,2018-03-09,west
1150.22,2018-03-09,north
1112.41,2018-03-09,south
1148.23,2018-03-09,east
1148.23,2018-03-09,west
1788.0,2018-03-10,north
1719.0,2018-03-10,south
1746.0,2018-03-10,east
1584.0,2018-03-10,west
5184.81,2018-03-10,north
5514.4800000000005,2018-03-10,south
5684.31,2018-03-10,east
5874.12,2018-03-10,west
1347.5,2018-03-10,north
1307.5,2018-03-10,south
1275.0,2018-03-10,east
1492.5,2018-03-10,west
1611.0,2018-03-10,north
1503.0,2018-03-10,south
1632.0,2018-03-10,east
1563.0,2018-03-10,west
637.5,2018-03-10,north
730.0,2018-03-10,south
663.75,2018-03-10,east
671.25,2018-03-10,west
2814.36,2018-03-10,north
2559.87,2018-03-10,south
2869.25,2018-03-10,east
2654.6800000000003,2018-03-10,west
1164.15,2018-03-10,north
1134.3,2018-03-10,south
1016.89,2018-03-10,east
1014.9,2018-03-10,west
1692.0,2018-03-11,north
1635.0,2018-03-11,south
1608.0,2018-03-11,east
1590.0,2018-03-11,west
5634.36,2018-03-11,north
5964.03,2018-03-11,south
5554.4400000000005,2018-03-11,east
4995.0,2018-03-11,west
1320.0,2018-03-11,north
1367.5,2018-03-11,south
1447.5,2018-03-11,east
1272.5,2018-03-11,west
1599.0,2018-03-11,north
1566.0,2018-03-11,south
1524.0,2018-03-11,east
1680.0,2018-03-11,west
728.75,2018-03-11,north
728.75,2018-03-11,south
667.5,2018-03-11,east
652.5,2018-03-11,west
2634.7200000000003,2018-03-11,north
2644.7000000000003,2018-03-11,south
2689.61,2018-03-11,east
2524.94,2018-03-11,west
1094.5,2018-03-11,north
1130.32,2018-03-11,south
1124.35,2018-03-11,east
1128.33,2018-03-11,west
1599.0,2018-03-12,north
1518.0,2018-03-12,south
1602.0,2018-03-12,east
1659.0,2018-03-12,west
5124.87,2018-03-12,north
5304.6900000000005,2018-03-12,south
5694.3,2018-03-12,east
5784.21,2018-03-12,west
1452.5,2018-03-12,north
1322.5,2018-03-12,south
1437.5,2018-03-12,east
1497.5,2018-03-12,west
1512.0,2018-03-12,north
1644.0,2018-03-12,south
1608.0,2018-03-12,east
1758.0,2018-03-12,west
703.75,2018-03-12,north
643.75,2018-03-12,south
632.5,2018-03-12,east
651.25,2018-03-12,west
2799.3900000000003,2018-03-12,north
2569.85,2018-03-12,south
2544.9,2018-03-12,east
2744.5,2018-03-12,west
1070.62,2018-03-12,north
1128.33,2018-03-12,south
1084.55,2018-03-12,east
1026.84,2018-03-12,west
1644.0,2018-03-13,north
1611.0,2018-03-13,south
1554.0,2018-03-13,east
1515.0,2018-03-13,west
5294.7,2018-03-13,north
5644.35,2018-03-13,south
5174.82,2018-03-13,east
5284.71,2018-03-13,west
1400.0,2018-03-13,north
1435.0,2018-03-13,south
1387.5,2018-03-13,east
1310.0,2018-03-13,west
1527.0,2018-03-13,north
1599.0,2018-03-13,south
1503.0,2018-03-13,east
